0.02,1165.00,5.00,5.00,0.00,0.00,0.00,0.00
0.03,1163.00,5.00,5.00,0.00,0.00,0.00,0.00
0.17,1162.00,5.00,5.00,0.00,0.00,0.00,0.00
0.18,1163.00,5.00,5.00,0.00,0.00,0.00,0.00
0.27,1165.00,5.00,5.00,0.00,0.00,0.00,0.00
0.40,1165.00,5.00,5.00,0.00,0.00,0.00,0.00
0.41,1165.00,5.00,5.00,0.00,0.00,0.00,0.00
0.49,1166.00,5.00,5.00,0.00,0.00,0.00,0.00
0.54,1165.00,5.00,5.00,0.00,0.00,0.00,0.00
0.56,1166.00,5.00,5.00,0.00,0.00,0.00,0.00
0.58,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.59,1168.00,5.00,5.00,0.00,0.00,0.00,0.00
0.66,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.67,1169.00,5.00,5.00,0.00,0.00,0.00,0.00
0.67,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.67,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.69,1166.00,5.00,5.00,0.00,0.00,0.00,0.00
0.74,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.78,1169.00,5.00,5.00,0.00,0.00,0.00,0.00
0.83,1167.00,5.00,5.00,0.00,0.00,0.00,0.00
0.85,1168.00,5.00,5.00,0.00,0.00,0.00,0.00
0.89,1169.00,5.00,5.00,0.00,0.00,0.00,0.00
0.92,1170.00,5.00,5.00,0.00,0.00,0.00,0.00
0.96,1170.00,5.00,5.00,0.00,0.00,0.00,0.00
1.00,1169.00,5.00,5.00,0.00,0.00,0.00,0.00
1.06,1170.00,5.00,5.00,0.00,0.00,0.00,0.00
1.19,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.28,1170.00,5.00,5.00,0.00,0.00,0.00,0.00
1.30,1168.00,5.00,5.00,0.00,0.00,0.00,0.00
1.35,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
1.39,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.51,1169.00,5.00,5.00,0.00,0.00,0.00,0.00
1.61,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.68,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.70,1170.00,5.00,5.00,0.00,0.00,0.00,0.00
1.75,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
1.76,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
1.89,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.92,1171.00,5.00,5.00,0.00,0.00,0.00,0.00
1.92,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
1.93,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
1.94,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
2.02,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
2.02,1173.00,5.00,5.00,0.00,0.00,0.00,0.00
2.02,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
2.05,1173.00,5.00,5.00,0.00,0.00,0.00,0.00
2.09,1173.00,5.00,5.00,0.00,0.00,0.00,0.00
2.14,1173.00,5.00,5.00,0.00,0.00,0.00,0.00
2.15,1174.00,5.00,5.00,0.00,0.00,0.00,0.00
2.16,1173.00,5.00,5.00,0.00,0.00,0.00,0.00
2.24,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.28,1174.00,5.00,5.00,0.00,0.00,0.00,0.00
2.32,1172.00,5.00,5.00,0.00,0.00,0.00,0.00
2.35,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.41,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.54,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.63,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.63,1176.00,5.00,5.00,0.00,0.00,0.00,0.00
2.72,1178.00,5.00,5.00,0.00,0.00,0.00,0.00
2.75,1175.00,5.00,5.00,0.00,0.00,0.00,0.00
2.87,1176.00,5.00,5.00,0.00,0.00,0.00,0.00
2.90,1177.00,5.00,5.00,0.00,0.00,0.00,0.00
2.96,1178.00,5.00,5.00,0.00,0.00,0.00,0.00
3.03,1178.00,5.00,5.00,0.00,0.00,0.00,0.00
3.10,1179.00,5.00,5.00,0.00,0.00,0.00,0.00
3.11,1178.00,5.00,5.00,0.00,0.00,0.00,0.00
3.19,1181.00,5.00,5.00,0.00,0.00,0.00,0.00
3.24,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.27,1182.00,5.00,5.00,0.00,0.00,0.00,0.00
3.28,1179.00,5.00,5.00,0.00,0.00,0.00,0.00
3.30,1181.00,5.00,5.00,0.00,0.00,0.00,0.00
3.36,1181.00,5.00,5.00,0.00,0.00,0.00,0.00
3.36,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.37,1181.00,5.00,5.00,0.00,0.00,0.00,0.00
3.40,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.45,1179.00,5.00,5.00,0.00,0.00,0.00,0.00
3.46,1179.00,5.00,5.00,0.00,0.00,0.00,0.00
3.48,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.49,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.59,1179.00,5.00,5.00,0.00,0.00,0.00,0.00
3.64,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.67,1180.00,5.00,5.00,0.00,0.00,0.00,0.00
3.71,1182.00,5.00,5.00,0.00,0.00,0.00,0.00
3.77,1181.00,5.00,5.00,0.00,0.00,0.00,0.00
